Image File: Normal 01.bmp 
ROI File: ROI image 02.roi 
Image size: 602 x 602
Min. lum.: 84
Max. lum.: 256
Bits/pixel: 8

Normalisation =  No
Histogram analysis = Yes
CO matrix analysis = Yes, Dimensions = 6 x 6, Distances = 1 2 3 4 5
RL matrix analysis = Yes, Dimension = 6
Gradient analysis = Yes, Max pixel value = 16
AR model analysis = Yes
Wavelet analysis = Yes

--------------- CLASS NAMES ----------------

----------------- FEATURES -----------------
S(0,1)SumVarnc	13.698666	18.341388	15.362361	16.507148	12.945367	6.1050896	8.0465491	4.7631331	9.1990575	11.611883	8.9110255	16.755033	5.8254145	14.434914	10.656253	8.4956263
S(0,1)SumEntrp	1.0805729	1.1271146	1.1318369	1.122195	1.0364462	0.88918746	0.98253362	0.85607603	1.007101	1.0602399	1.0155729	1.1017397	0.90049564	1.0646958	1.0316932	0.93868421
S(0,1)Entropy	1.1456604	1.210401	1.2039899	1.1907082	1.1091047	0.94464035	1.0497622	0.91795204	1.0743296	1.1257557	1.0900811	1.1589054	0.95680495	1.1227179	1.0976372	0.99092555
S(0,1)DifVarnc	0.16946676	0.20012434	0.18223717	0.17579607	0.1792865	0.15027701	0.17345293	0.16329782	0.17345293	0.17027209	0.18624914	0.15383825	0.15206573	0.1555946	0.17107337	0.14342515
S(0,1)DifEntrp	0.22673519	0.25613909	0.23917419	0.23293611	0.23626811	0.20747047	0.23064888	0.22062055	0.23064888	0.2275282	0.24302414	0.21110123	0.20929741	0.2128822	0.22831605	0.20040876
_Area_S(1,1)	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738
S(1,1)AngScMom	0.080179878	0.084514351	0.081527414	0.081365475	0.095719898	0.13946214	0.12442101	0.18851129	0.10525536	0.085584963	0.092858084	0.078110152	0.1406488	0.093540256	0.09547819	0.12893236
S(1,1)Contrast	0.31117604	0.34258583	0.31994156	0.3265157	0.29583638	0.23447772	0.31482834	0.24981738	0.27319211	0.36011687	0.34623813	0.27757487	0.26807889	0.24616508	0.29145362	0.2147553
S(1,1)Correlat	0.95496425	0.96370911	0.95835781	0.960175	0.95391422	0.92444403	0.92078398	0.89738526	0.94115344	0.93924266	0.92484786	0.9665662	0.9074612	0.96651473	0.94508714	0.9494216
S(1,1)SumOfSqs	3.4547667	4.719997	3.8415558	4.0993806	3.2096278	1.5516822	1.9871507	1.2172588	2.3212243	2.9635668	2.3035812	4.1511114	1.4484675	3.6757222	2.6537828	2.1229942
S(1,1)InvDfMom	0.84616508	0.83046019	0.84265888	0.84287801	0.85558802	0.88276114	0.84346238	0.87596786	0.8642805	0.82432432	0.82688093	0.86121256	0.86596056	0.87691746	0.85427319	0.89262235
